,likes,comments,post_id,time_posted,user_id,followers,following,posts,verified,time_scraped
0,"2,666",17,/p/CRad3GmBk0I/,2021-07-17T03:40:21.000Z,/tsn_official/,"917,216",97,"33,841",True,2021-07-16 23:49:24.745847
1,"14,402",97,/p/CRWwzc9M-b3/,2021-07-15T17:08:55.000Z,/earth_planet_shots/,"128,505","7,370",884,False,2021-07-16 23:49:31.050117
2,"1,752",34,/p/CRWyBD1jT8s/,2021-07-15T17:19:31.000Z,/mixplor/,"128,037",406,"2,445",False,2021-07-16 23:49:37.559578
3,941,18,/p/CRWye0_tTwi/,2021-07-15T17:23:35.000Z,/sensiblestylista/,"119,807","1,334","2,116",False,2021-07-16 23:49:44.017947
4,,4,/p/CRWqtu7FPoF/,2021-07-15T16:15:47.000Z,/bywardmarket/,"19,587","2,343","3,968",False,2021-07-16 23:49:50.548051
5,"2,537",95,/p/CRXhq60pKGu/,2021-07-16T00:15:55.000Z,/sandhumma/,"158,162","2,230","3,195",True,2021-07-16 23:49:56.690111
6,,"18,218",/p/CRZguj2HSqo/,2021-07-16T18:46:10.000Z,/justinbieber/,"183,486,977",609,"6,515",True,2021-07-16 23:49:58.416570
7,114,,/p/CRZ5JvPjEtZ/,2021-07-16T22:19:35.000Z,/80s_fan_forever_/,"26,788",322,"15,933",False,2021-07-16 23:50:05.229640
8,71,,/p/CRZhJbFtajt/,2021-07-16T18:49:50.000Z,/ottawahospital/,"7,175",275,855,False,2021-07-16 23:50:12.362860
9,"4,233",48,/p/CRXu75TMqIj/,2021-07-16T02:11:50.000Z,/justintakesthebach/,"22,305",708,"1,455",False,2021-07-16 23:50:19.878929
10,4,,/p/CRZvfvTJDNA/,2021-07-16T20:55:13.000Z,/theldwc/,"2,061","7,332",496,False,2021-07-16 23:50:26.729598
11,"1,165",22,/p/CRXCIyns4uV/,2021-07-15T19:40:23.000Z,/justintakesthebach/,"22,305",708,"1,455",False,2021-07-16 23:50:33.592186
12,,22,/p/CRZhnn9lTA7/,2021-07-16T18:53:57.000Z,/littlemissottawa/,"45,657","1,186",959,False,2021-07-16 23:50:40.411005
13,79,,/p/CRWl4UHtMpT/,2021-07-15T15:33:28.000Z,/equatorcoffee/,"6,484","1,736",870,False,2021-07-16 23:50:51.185646
14,161,,/p/CRWmEsxlfG9/,2021-07-15T15:35:09.000Z,/bangin.balloons/,"25,311","5,909",555,False,2021-07-16 23:50:57.611819
15,,9,/p/CRWoxi9pq2C/,2021-07-15T15:59:28.000Z,/armana_rai/,"23,357",669,640,False,2021-07-16 23:51:04.466969
16,730,4,/p/CRWnRivDYte/,2021-07-15T15:45:39.000Z,/halfbackwards/,"12,008","2,642","1,163",False,2021-07-16 23:51:11.126876
17,122,,/p/CRZC0ypjcO_/,2021-07-16T14:24:52.000Z,/mensfashionmaster/,"23,949","5,374",598,False,2021-07-16 23:51:17.586557
18,172,,/p/CRZuVIqlBY-/,2021-07-16T20:45:01.000Z,/lhsccanada/,"5,763",39,408,False,2021-07-16 23:51:24.201793
19,58,,/p/CRW5HowHKlY/,2021-07-15T18:21:35.000Z,/thedazzlerco/,"8,053","1,173",375,False,2021-07-16 23:51:30.719242
20,"10,313",150,/p/CRaHU2EjrFQ/,2021-07-17T00:23:26.000Z,/sportsnet/,"693,319",197,"15,515",True,2021-07-16 23:51:32.261832
21,38,,/p/CRWjujlFoH_/,2021-07-15T15:14:39.000Z,/bywardmarket/,"19,587","2,343","3,968",False,2021-07-16 23:51:42.763457
22,68,,/p/CRWjh2FlNbS/,2021-07-15T15:12:55.000Z,/bywardmarket/,"19,587","2,343","3,968",False,2021-07-16 23:51:49.430932
23,24,,/p/CRWkU8sIM-3/,2021-07-15T15:19:54.000Z,/theldwc/,"2,061","7,332",496,False,2021-07-16 23:51:55.866055
24,"9,767",80,/p/CRWdru2p7Em/,2021-07-15T14:21:50.000Z,/wwlmma/,"275,118",584,"1,679",False,2021-07-16 23:52:02.208430
